中铁汇苑 2室2厅 南,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 简装 ,26, 板塔结合,37, 11个月以前发布,2000000.0,"20,254元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一，万达旁，低密度社区，中间楼层，诚心出售,新生活家园北区,康虹路,2室2厅 ,98.16, 南 , 精装 ,28, 塔楼,77, 8个月以前发布,1440000.0,"14,670元/平",VR看装修 房本满五年 随时看房 
高新万达旁，鑫苑国际，双南卧，户型方正，位置安静。,鑫苑国际城市花园,国际会展中心,2室1厅 ,76.95, 南 , 简装 ,18, 板楼,17,27,1330000.0,"17,284元/平",VR房源 房本满五年 随时看房 
地铁3号线旁 精装三居室 带车位 拎包入住,丰奥嘉园北区,奥体中路,3室2厅 ,134.91, 南 北 , 精装 ,29, 板楼,31, 5个月以前发布,2450000.0,"18,161元/平",近地铁 VR看装修 房本满五年 
经十路，万科金域国际三居，精装修，阳光好，无遮挡,万科金域国际,齐鲁软件园,3室2厅 ,116.43, 南 , 精装 ,24, 板楼,104, 9个月以前发布,2460000.0,"21,129元/平",VR看装修 房本满两年 
交通便利，浪潮东，出行方便，近奥体，房东诚心出售,万科金域国际,齐鲁软件园,2室1厅 ,84.03, 南 , 精装 ,30, 板楼,1,12,1880000.0,"22,373元/平",VR看装修 房本满五年 
万科尊享系精装修，已下证，未入住，有钥匙，随时看房,万科麓城,齐鲁软件园,3室2厅 ,139.7, 南 北 , 精装 ,18, 板楼,14, 4个月以前发布,3590000.0,"25,698元/平",VR看装修 房本满两年 随时看房 
鑫苑国际三居室，业主诚售，看房方便，带地下室,鑫苑国际城市花园,国际会展中心,3室1厅 ,114.58, 南 北 , 简装 ,27, 塔楼,47, 4个月以前发布,1770000.0,"15,448元/平",VR看装修 房本满五年 随时看房 
茗筑美嘉+视野无遮挡+采光充足+有钥匙随时可以看,茗筑美嘉,康虹路,2室2厅 ,95.67, 南 北 , 简装 ,24, 板楼,10, 2个月以前发布,1650000.0,"17,247元/平",VR房源 房本满五年 随时看房 
月租抵月供，地铁口 i自住均可！,凤凰SOHO,康虹路,1室1厅 ,33.92, 北 , 精装 ,19, 塔楼,50, 4个月以前发布,340000.0,"10,024元/平",VR房源 房本满两年 随时看房 
95平精装小三室 随时看房 即买即住,祥泰新河湾,康虹路,3室1厅 ,95.63, 南 北 , 简装 ,31, 板楼,51, 4个月以前发布,1680000.0,"17,568元/平",近地铁 VR看装修 房本满五年 随时看房 
三室两厅 三个卧室朝阳 诚意出售,新东方花园,康虹路,3室2厅 ,138.0, 南 北 , 精装 ,12, 板楼,13,14,2200000.0,"15,943元/平",VR房源 
中间楼层，采光好，无遮挡，精装修。,丰奥嘉园北区,奥体中路,3室2厅 ,135.74, 南 北 , 精装 ,29, 板楼,57, 一年前发布,2555000.0,"18,823元/平",近地铁 VR看装修 房本满五年 
浪潮开发 户型方正 精装修 采光视野好 业主急售,茗筑美嘉,康虹路,2室1厅 ,91.56, 南 北 , 其他 ,18, 板楼,3,8,1530000.0,"16,711元/平",VR看装修 
新生活北区+大三居+出行方便+价格可聊,新生活家园北区,康虹路,3室2厅 ,128.0, 南 北 , 精装 ,11, 板楼,78, 6个月以前发布,2390000.0,"18,672元/平",VR房源 房本满五年 
业主自住精装修 满两年 诚心出售 随时看房,中海奥龙觀邸,汉峪,3室2厅 ,114.0, 南 , 精装 ,22, 板楼,6,12,2890000.0,"25,351元/平",VR看装修 
高新万达东南50米，70年产权正规住宅，满五总价低,鑫苑国际城市花园,国际会展中心,1室2厅 ,55.56, 西 , 简装 ,24, 塔楼,31, 7个月以前发布,908800.0,"16,358元/平",VR看装修 房本满五年 随时看房 
高新 会展旁  通透两居  中高楼层 看房预约,鑫苑国际城市花园,国际会展中心,2室1厅 ,76.49, 北 南 , 简装 ,18, 板楼,45, 8个月以前发布,1270000.0,"16,604元/平",VR看装修 房本满五年 随时看房 
南向全明小户型住宅 采光好 中间楼层 不沿街,鑫苑国际城市花园,国际会展中心,1室2厅 ,59.74, 南 , 简装 ,18, 板楼,7, 1个月以前发布,1060000.0,"17,744元/平",VR看装修 房本满五年 随时看房 
此房满五产权明晰 比较着急出售,新东方花园,康虹路,3室1厅 ,137.79, 南 北 , 精装 ,12, 板楼,7,11,2200000.0,"15,967元/平",VR房源 
高新万达北+居家自住+交通便利+看房方便,明湖白鹭郡,康虹路,2室2厅 ,91.79, 南 , 精装 ,26, 板楼,57, 4个月以前发布,1400000.0,"15,253元/平",VR看装修 房本满两年 
高新区丰奥嘉园 中楼层 全南户型落地窗 车位地下室,丰奥嘉园北区,奥体中路,2室2厅 ,100.11, 南 , 精装 ,32, 板楼,6, 1个月以前发布,1860000.0,"18,580元/平",VR看装修 房本满五年 
高新万达旁，交通便利，购物方便，宽敞三居,盛世花城,国际会展中心,3室1厅 ,141.38, 南 , 精装 ,18, 板楼,5, 5个月以前发布,2780000.0,"19,664元/平",VR看装修 房本满五年 
软件园洋房小三居有车位地下室精装修满2年随时看房,中海天悦府,齐鲁软件园,3室1厅 ,94.64, 南 , 精装 ,10, 板楼,109, 4个月以前发布,2230000.0,"23,563元/平",VR看装修 房本满两年 
茗筑美嘉，精装修两室，证过五年,茗筑美嘉,康虹路,2室2厅 ,92.12, 南 北 , 精装 ,24, 板楼,17, 1个月以前发布,1550000.0,"16,826元/平",VR看装修 房本满五年 
黄金时代！大三居，总高11，中间楼层，带车位地下室,黄金时代,齐鲁软件园,3室2厅 ,161.84, 南 , 精装 ,11, 板楼,11, 2个月以前发布,3470000.0,"21,441元/平",VR房源 房本满五年 
高新万达商圈，通透三居 中间楼层 采光好 看房方便,盛世花城,国际会展中心,3室2厅 ,145.26, 南 北 , 简装 ,18, 板楼,20, 3个月以前发布,2550000.0,"17,555元/平",VR看装修 房本满五年 
高新万达商圈 房子位置好 采光佳，看房方便 朝阳,汇展香格里拉,国际会展中心,2室1厅 ,77.17, 西北 , 精装 ,31, 塔楼,32, 4个月以前发布,600000.0,"7,776元/平",VR房源 房本满两年 
万达商圈精装三室两卫 户型方正通透 带地下室 免双税,盛世花城,国际会展中心,3室2厅 ,145.26, 南 , 精装 ,18, 板楼,30,30,2500000.0,"17,211元/平",VR看装修 房本满五年 
满五唯一 低楼层 交通便利 诚意出售,鑫苑国际城市花园,国际会展中心,3室1厅 ,99.73, 南 北 , 简装 ,18, 板楼,26, 4个月以前发布,1500000.0,"15,041元/平",VR看装修 随时看房 
三庆汇德公馆 3室2厅 南 北,三庆汇德公馆,康虹路,3室2厅 ,95.61, 南 北 , 简装 ,26, 板楼,22, 4个月以前发布,1700000.0,"17,781元/平",VR看装修 
精装三室采光视野好楼前别墅区。,中海奥龙觀邸,汉峪,3室2厅 ,116.0, 南 , 精装 ,28, 板楼,12, 2个月以前发布,2850000.0,"24,569元/平",VR看装修 
万达旁 三居室 满两年 精装修 有     产权车位 地下室,祥泰新河湾,康虹路,3室2厅 ,96.43, 南 北 , 精装 ,34, 板楼,13, 2个月以前发布,1720000.0,"17,837元/平",VR看装修 
1.房子满二年 2.南北套厅朝北 3.自住精装修，,海信慧园东区,康虹路,2室1厅 ,94.86, 南 , 精装 ,18, 板楼,5, 3个月以前发布,1680000.0,"17,711元/平",VR房源 
此房满五 户型方正 南北通透 采光无忧,盛世花城,国际会展中心,3室2厅 ,122.0, 南 北 , 精装 ,24, 板楼,20, 5个月以前发布,2130000.0,"17,460元/平",VR看装修 
高新 万达广场  通透大三居 采光无遮挡 小高层,万达华府,国际会展中心,3室1厅 ,139.03, 南 北 , 精装 ,16, 板楼,50, 8个月以前发布,3435000.0,"24,707元/平",VR看装修 
凤凰路四居洋房，带车位，公摊小，精装修 诚心卖,龙园,齐鲁软件园,4室2厅 ,182.41, 南 北 , 精装 ,11, 板楼,61, 9个月以前发布,3750000.0,"20,559元/平",VR看装修 
