雅居园南苑 三室两厅两卫 精装修 公摊少 视野宽阔,雅居园,济阳,3室2厅 ,143.65, 南 北 , 精装 ,5, 暂无数据,0,26,900000.0,"6,266元/平",VR看装修 房本满五年 随时看房 
采光充足 视野宽阔 交通便利 配套设施全 停车方便,雅居园,济阳,3室2厅 ,116.98, 南 北 , 简装 ,5, 板楼,0,7,880000.0,"7,523元/平",VR看装修 随时看房 
此房南北通透的格局 步梯中间楼层 出入便利,三发舜鑫苑西区,济阳,3室2厅 ,134.26, 南 北 , 精装 ,7, 板楼,1,21,990000.0,"7,374元/平",VR看装修 房本满五年 
澄波湖壹号两室两厅 楼层好 视野宽阔 采光无忧,澄波湖壹号,济阳,2室2厅 ,91.18, 南 北 , 毛坯 ,31, 暂无数据,0,20,650000.0,"7,129元/平",VR房源 房本满两年 
馨阳嘉苑三室两厅 楼层好 位置好 出行便利 采光充足,三箭馨阳嘉苑,济阳,3室2厅 ,123.0, 南 北 , 简装 ,22, 暂无数据,0,12,820000.0,"6,667元/平",VR看装修 随时看房 
澄波湖三室两厅一卫 全明户型 好楼层 视野宽阔,澄波湖壹号,济阳,3室2厅 ,113.0, 南 北 , 简装 ,30, 板塔结合,0,9,860000.0,"7,611元/平",VR看装修 随时看房 
澄波湖壹号精装修小三室免高税 中间楼层 落地窗,澄波湖壹号,济阳,3室2厅 ,110.81, 南 北 , 精装 ,30, 板塔结合,8, 一年前发布,880000.0,"7,942元/平",VR看装修 房本满两年 随时看房 
金海花园 三室两厅 东边户 全天采光 免高税,四建金海花园,济阳,3室2厅 ,119.56, 南 北 , 简装 ,17, 暂无数据,1, 1个月以前发布,930000.0,"7,779元/平",VR看装修 房本满两年 随时看房 
禧福凤凰城 三室两厅两卫 精装修 免高税纯东户,禧福凤凰城,济阳,3室2厅 ,135.5, 南 北 , 精装 ,28, 暂无数据,1,8,990000.0,"7,307元/平",VR看装修 
现代城170平电梯洋房四室两卫155万带车位储藏室,领秀城,济阳,4室2厅 ,169.28, 南 北 , 精装 ,11, 暂无数据,2,8,1550000.0,"9,157元/平",VR看装修 
植物园旁 闻韶佳苑 三室两厅一卫 纯边户 好楼层,闻韶佳苑,济阳,3室1厅 ,108.0, 南 北 , 简装 ,28, 板楼,1,6,918000.0,"8,500元/平",VR看装修 
帝华书香苑三室简装 南北通透 楼层好采光充足,帝华书香苑,济阳,3室2厅 ,126.0, 南 北 , 简装 ,18, 暂无数据,0,8,960000.0,"7,620元/平",VR看装修 
洋房三室两厅一卫，精装修，一体两户，采光充足，,禧福凤凰城,济阳,3室2厅 ,127.03, 南 北 , 精装 ,3, 暂无数据,1,17,1150000.0,"9,053元/平",VR看装修 房本满两年 
雅居园 3室2厅 南 北,雅居园,济阳,3室2厅 ,110.94, 南 北 , 精装 ,6, 暂无数据,0,2,780000.0,"7,031元/平",VR房源 
澄波湖80.19平两室65万可分期看房方便,澄波湖壹号,济阳,2室1厅 ,80.19, 南 , 毛坯 ,26, 暂无数据,0, 2个月以前发布,650000.0,"8,106元/平",VR房源 房本满两年 随时看房 
出售 闻韶佳苑 三室两厅 东邻植物园  安大广场,闻韶佳苑,济阳,3室1厅 ,138.47, 南 北 , 毛坯 ,32, 板楼,0, 2个月以前发布,1150000.0,"8,306元/平",VR房源 房本满两年 随时看房 
禧福凤凰城 三室两厅两卫  带储藏室 免高税,禧福凤凰城,济阳,3室1厅 ,135.0, 南 北 , 简装 ,28, 暂无数据,1,9,990000.0,"7,334元/平",VR房源 随时看房 
澄波湖一号 精装三室 好楼层 免高税 花园式小区,澄波湖壹号,济阳,3室2厅 ,117.5, 南 北 , 精装 ,31, 暂无数据,0,13,880000.0,"7,490元/平",VR看装修 
济北花园 3室2厅 南 北,济北花园,济阳,3室2厅 ,115.63, 南 北 , 精装 ,5, 板楼,0,16,900000.0,"7,784元/平",VR看装修 
济阳一中园丁小区 3室2厅 南 北,济阳一中园丁小区,济阳,3室2厅 ,106.11, 南 北 , 简装 ,5, 板楼,0,13,690000.0,"6,503元/平",VR看装修 随时看房 
华鑫两室84平60万带电梯免高税正常分期,华鑫现代城,济阳,2室1厅 ,84.14, 南 , 简装 ,24, 板塔结合,0,14,590000.0,"7,013元/平",VR房源 
大明胜景118平三室一卫100万带储藏室可分期,大明胜景,济阳,3室2厅 ,118.0, 南 北 , 简装 ,29, 暂无数据,1,11,1000000.0,"8,475元/平",VR看装修 
出售和家园三室  中高楼层 公摊少 采光无忧 免高税,和家园,济阳,3室2厅 ,111.84, 南 北 , 精装 ,5, 暂无数据,0, 9个月以前发布,1050000.0,"9,389元/平",VR看装修 房本满两年 
三发步梯洋房 免高税 视野宽阔 采光无忧！,三发舜鑫苑西区,济阳,3室2厅 ,134.5, 南 , 精装 ,6, 板楼,4, 9个月以前发布,830000.0,"6,172元/平",VR看装修 房本满五年 
换工作急脱手澄波湖121平108万带车位免高税,澄波湖壹号,济阳,3室1厅 ,120.21, 南 北 , 精装 ,24, 暂无数据,4, 3个月以前发布,1060000.0,"8,818元/平",VR看装修 房本满两年 
房子免高税 中间好楼层 全天采光无忧 带25平大车库,和家园,济阳,3室2厅 ,124.39, 南 北 , 精装 ,5, 暂无数据,2, 9个月以前发布,1170000.0,"9,406元/平",VR看装修 房本满两年 
三吉花园品质三居电梯洋房好楼层公摊少南北通透,三吉花园(济阳区),济阳,3室2厅 ,130.95, 南 北 , 简装 ,11, 板楼,2, 11个月以前发布,970000.0,"7,408元/平",VR看装修 房本满五年 
金湖国际116平精装三室免高税南北通透,金湖国际,济阳,3室2厅 ,116.2, 南 北 , 精装 ,25, 板楼,1, 7个月以前发布,910000.0,"7,832元/平",VR看装修 房本满两年 
金湖国际138平精装三室免高税中间楼层南北通透,金湖国际,济阳,3室2厅 ,137.7, 南 北 , 精装 ,18, 板塔结合,1, 7个月以前发布,1200000.0,"8,715元/平",VR看装修 房本满两年 
此房为三室两厅两卫 好楼层 免高税带10平储藏室,大明胜景,济阳,3室2厅 ,136.99, 南 北 , 简装 ,24, 板楼,0, 1个月以前发布,1040000.0,"7,592元/平",VR看装修 房本满两年 
出售金湖国际 精装修两室 好楼层 免高税 随时看房,金湖国际,济阳,2室2厅 ,89.07, 南 , 其他 ,31, 板楼,1,11,620000.0,"6,961元/平",VR看装修 房本满两年 
两梯两户 小高层 精装修诚心出售 价格可议,澄波湖壹号,济阳,3室2厅 ,128.5, 南 北 , 精装 ,18, 板塔结合,0,31,1060000.0,"8,250元/平",VR看装修 
出售澄波湖95平68万两室免高税,澄波湖壹号,济阳,2室2厅 ,95.0, 南 , 精装 ,24, 板塔结合,0,22,680000.0,"7,158元/平",VR房源 
