精装两室不沿街 全福立交桥两室两厅全明户型 客厅朝南,路劲东城,全福区,2室2厅 ,82.94, 南 , 精装 ,33, 板楼,10, 1个月以前发布,1280000.0,"15,433元/平",VR看装修 房本满两年 随时看房 
山东大学宿舍 婚房过渡低楼层 洋房式环境双气大院停车,山大南院宿舍教工住宅楼,山大路,1室1厅 ,44.94, 南 , 简装 ,5, 板楼,20, 6个月以前发布,815000.0,"18,136元/平",VR看装修 房本满两年 随时看房 
鲁商凤凰城    精装婚房两室，一次未住  采光充足,鲁商凤凰城,唐冶,2室2厅 ,86.73, 南 , 精装 ,33, 板楼,38, 5个月以前发布,1190000.0,"13,721元/平",VR看装修 房本满五年 随时看房 
有地下室单算 采光充足 交通便利 配套设施齐全！,保利花园,建筑大学,2室2厅 ,86.94, 南 , 精装 ,33, 板楼,64, 7个月以前发布,1200000.0,"13,803元/平",VR看装修 房本满五年 随时看房 
此房不沿街、房龄新无高税 户型方正、公摊小、精装修,鑫苑花园公馆,七里河,2室2厅 ,93.58, 南 , 精装 ,28, 板楼,23, 4个月以前发布,1800000.0,"19,235元/平",VR看装修 房本满两年 
两室两厅  精装修  带家具家电 首付低,中海华山珑城,华山,2室2厅 ,78.33, 南 北 , 简装 ,33, 板楼,42, 5个月以前发布,1050000.0,"13,405元/平",VR看装修 房本满两年 
中铁逸都国际 2室2厅 南,中铁逸都国际,汉峪,2室2厅 ,86.1, 南 , 精装 ,24, 板楼,28, 3个月以前发布,1500000.0,"17,422元/平",VR看装修 房本满两年 
旅游路旁 一期南区 全明两居室 户型方正 业主诚意出售,中铁逸都国际,汉峪,2室2厅 ,86.57, 南 , 简装 ,24, 板楼,15, 2个月以前发布,1490000.0,"17,212元/平",VR看装修 房本满两年 
永大颐和园 融创茂旁 业主急售,永大颐和园,建筑大学,2室2厅 ,94.13, 南 , 精装 ,18, 板楼,52, 1个月以前发布,1100000.0,"11,686元/平",VR看装修 房本满五年 
花园路电梯洋房 全明户型 看房方便 业主急售,齐鲁世纪园,七里河,2室2厅 ,112.72, 南 , 简装 ,12, 板楼,23, 5个月以前发布,1600000.0,"14,195元/平",VR看装修 房本满五年 
花园小区 全明户型 一楼带56平小院 带两间门头房,花园小区三区,洪家楼,2室1厅 ,60.35, 南 北 , 简装 ,6, 板楼,21, 1个月以前发布,1100000.0,"18,228元/平",近地铁 VR房源 房本满五年 
融创茂旁 永大颐和园三期 好楼层,永大颐和园,建筑大学,2室2厅 ,92.94, 南 , 精装 ,12, 板楼,18, 1个月以前发布,1250000.0,"13,450元/平",VR看装修 房本满两年 
精装好房，满两年免高税，好楼层，可上学,天鸿云公馆B6,王舍人,2室1厅 ,91.59, 南 , 精装 ,31, 板楼,59, 4个月以前发布,1080000.0,"11,792元/平",VR看装修 房本满两年 
没有增值税 格局好，生活设施齐全，交通便利,中海华山珑城,华山,2室2厅 ,77.71, 南 , 毛坯 ,33, 板楼,34, 3个月以前发布,1010000.0,"12,998元/平",VR看装修 房本满两年 
中铁逸都国际楼层好采光好精装修诚心出售,中铁逸都国际,汉峪,2室2厅 ,87.34, 南 , 精装 ,31, 板楼,114, 一年前发布,1535000.0,"17,575元/平",VR看装修 房本满两年 
翡翠清河东区 2室2厅 南,翡翠清河东区,还乡店,2室2厅 ,96.25, 南 , 简装 ,11, 板楼,6, 一年前发布,1600000.0,"16,624元/平",VR看装修 房本满五年 
化纤小区 精装小两居 三楼 总价低 房主实心卖,化纤小区,祝甸,1室1厅 ,49.16, 南 北 , 简装 ,5, 板楼,27, 6个月以前发布,710000.0,"14,443元/平",VR房源 房本满五年 
逸东花园新上房源，房子南北通透户型，位置挺好的,逸东花园,七里河,2室2厅 ,95.98, 南 北 , 精装 ,11, 板塔结合,62, 4个月以前发布,1480000.0,"15,420元/平",VR看装修 房本满五年 
万科新里程 2室2厅 南,万科新里程,还乡店,2室2厅 ,81.25, 南 , 精装 ,28, 板楼,19,16,1250000.0,"15,385元/平",近地铁 VR看装修 
唐冶片区，证满五年免双税 经十路旁、交通便利 采光好,恒大名都,唐冶,2室2厅 ,92.67, 南 , 精装 ,30, 板楼,7, 3个月以前发布,1230000.0,"13,273元/平",VR看装修 房本满五年 
华龙路 锦绣泉城 成熟社区 精装两室  交通便利,锦绣泉城,七里河,2室2厅 ,106.06, 南 北 , 简装 ,12, 板楼,63, 一年前发布,1820000.0,"17,161元/平",VR看装修 房本满五年 
经十路旁 ，优越两居室，交通十分便利，配套齐全,和润幸福城,唐冶,2室2厅 ,91.72, 南 , 其他 ,32, 板楼,0, 3个月以前发布,1650000.0,"17,990元/平",VR看装修 房本满两年 
房子精装修，中高层，有车位地下室，全天采光。,天齐奥东花园,建筑大学,3室2厅 ,126.19, 南 , 精装 ,25, 板楼,11, 1个月以前发布,2070000.0,"16,404元/平",VR看装修 房本满两年 
中间楼层采光好，通风效果好，随时看房，证满两年,万象新天哈佛郡,王舍人,2室2厅 ,90.95, 南 , 精装 ,33, 板塔结合,6, 1个月以前发布,1160000.0,"12,755元/平",VR看装修 房本满两年 
房主急售  中间楼层 证满两年免高税 靠山环境好,龙山希思庄园,经十东路,2室2厅 ,88.44, 南 北 , 简装 ,18, 板楼,68, 一年前发布,830000.0,"9,385元/平",VR看装修 房本满两年 
洪家楼 精装洋房 地铁次新小区,福润康城,洪家楼,3室2厅 ,126.14, 南 北 , 精装 ,11, 板楼,2, 4个月以前发布,2330000.0,"18,472元/平",VR看装修 房本满五年 
电梯洋房 好楼层  精装修  公摊小 封闭式社区 绿化好,锦绣泉城,七里河,2室1厅 ,93.26, 南 , 精装 ,12, 塔楼,27,30,1400000.0,"15,012元/平",VR看装修 房本满五年 
济钢新村东区非顶楼，诚意出售看房方便！,济钢新村南区和东区,济钢,2室2厅 ,66.27, 南 , 精装 ,8, 板楼,62, 2个月以前发布,718000.0,"10,835元/平",VR看装修 房本满五年 
大两居，随时看房，采光视野棒，正常首付，诚心出售,鲁商凤凰城,唐冶,2室1厅 ,91.59, 南 , 其他 ,32, 板楼,7, 3个月以前发布,1170000.0,"12,775元/平",VR看装修 房本满两年 
建鑫花园，汇科旺园，百花公园，山大北路，山大南路,建鑫花园,山大路,2室2厅 ,90.23, 南 北 , 简装 ,7, 板楼,2, 1个月以前发布,1650000.0,"18,287元/平",VR看装修 房本满两年 
带装修，三室房，汉峪金谷不沿街不靠路,中铁逸都国际,汉峪,3室2厅 ,121.02, 南 北 , 精装 ,31, 板楼,236, 一年前发布,2200000.0,"18,179元/平",VR看装修 
精装修，带地下室，楼层好，采光无遮挡，南北通透,河泰优山美郡,济钢,3室2厅 ,107.12, 南 北 , 精装 ,18, 板楼,66, 1个月以前发布,1280000.0,"11,950元/平",VR看装修 
