低楼层，南北通透，户型好，采光好！,青年东路5号院,文化西路,3室1厅 ,74.68, 南 北 , 简装 ,5, 板楼,22, 1个月以前发布,1920000.0,"25,710元/平",VR看装修 房本满五年 随时看房 
正觉寺二区泉城广场南侧二楼钥匙房,正觉寺小区二区,佛山街,2室1厅 ,74.9, 南 北 , 简装 ,6, 板楼,103, 一年前发布,1770000.0,"23,632元/平",VR看装修 房本满五年 随时看房 
东山墅 四层洋房 辅仁 旅游路 业主诚意出售。满五唯一,东山墅,旅游路,5室2厅 ,220.0, 南 北 , 简装 ,4, 板楼,85, 6个月以前发布,5030000.0,"22,864元/平",VR房源 房本满五年 随时看房 
百合园精装三室，有露台，看房有钥匙,海尔绿城全运村百合园,奥体中心,3室2厅 ,146.73, 南 北 , 简装 ,10, 板楼,72, 3个月以前发布,4300000.0,"29,306元/平",近地铁 VR房源 房本满两年 随时看房 
历下区！很大北露台+双地铁非顶层+南北通透大G户型,绿城百合花园,盛福,3室2厅 ,138.08, 南 北 , 简装 ,17, 板楼,21, 5个月以前发布,3350000.0,"24,262元/平",近地铁 VR看装修 房本满两年 随时看房 
千佛山北广场旁 一楼带25平的院 采光好 诚心卖,经十路17110号,千佛山,2室1厅 ,68.53, 南 北 , 简装 ,6, 板楼,12, 3个月以前发布,2150000.0,"31,374元/平",VR房源 房本满两年 随时看房 
保利华庭 边户精装三居 业主急售 价格可谈 拎包入住,保利华庭,化纤厂路,3室1厅 ,136.41, 南 北 , 精装 ,34, 板楼,33, 1个月以前发布,2970000.0,"21,773元/平",近地铁 VR房源 房本满两年 随时看房 
黑虎泉南，中间楼层，采光好 诚心卖,司里街小区南区,泉城路,3室1厅 ,66.32, 南 北 , 简装 ,4, 板楼,35, 4个月以前发布,1760000.0,"26,538元/平",VR看装修 房本满五年 随时看房 
优质带小院方正三居室 看房方便 业主诚售,海尔绿城全运村百合园,奥体中心,3室2厅 ,172.75, 南 北 , 精装 ,14, 板楼,135, 8个月以前发布,4900000.0,"28,365元/平",VR房源 房本满五年 随时看房 
235万品质好房，三室两厅带30万装修，地暖空调电视！,凯旋公馆,化纤厂路,3室2厅 ,113.35, 南 北 , 精装 ,27, 板楼,65, 6个月以前发布,2150000.0,"18,968元/平",VR看装修 房本满两年 随时看房 
老城稀que电梯大四室，豪hua大院，停车方便，位置优越,警官培训学院宿舍,文化东路,4室2厅 ,161.24, 东 南 , 简装 ,19, 板楼,47, 8个月以前发布,3990000.0,"24,746元/平",VR看装修 房本满两年 随时看房 
满五唯一户型方正主卧三面有窗夏天关上门不必开空调,师大新村,银座花园,4室2厅 ,145.09, 西北 , 简装 ,11, 板楼,53, 6个月以前发布,3850000.0,"26,536元/平",VR看装修 房本满五年 随时看房 
好房推荐+两室朝阳+精装两居+视野采光好+出行方便,中建文化城,燕山,2室1厅 ,88.34, 南 , 精装 ,32, 板楼,9,8,2650000.0,"29,998元/平",VR看装修 房本满五年 
燕山立交，电梯洋房，南北通透，精装修，带地下室,东华园,姚家,2室1厅 ,90.23, 南 北 , 精装 ,7, 板楼,9,11,2100000.0,"23,274元/平",VR看装修 房本满两年 
环山盛景 3室1厅 南 北,环山盛景,环山,3室1厅 ,140.0, 南 北 , 简装 ,18, 板塔结合,5,4,4850000.0,"34,643元/平",VR看装修 
名士豪庭2区 2室2厅 东,名士豪庭2区,浆水泉区,2室2厅 ,92.42, 东 , 简装 ,18, 板楼,4,6,2450000.0,"26,510元/平",VR看装修 随时看房 
景苑高楼层视野采光俱佳精装三室配套齐全,正大城市花园景苑,燕山,3室2厅 ,148.5, 南 北 , 精装 ,19, 板楼,31, 3个月以前发布,3400000.0,"22,896元/平",VR看装修 房本满两年 随时看房 
南北通透格局，楼层好，视野宽阔，配套齐全,盛福花园,盛福,2室1厅 ,84.6, 南 北 , 简装 ,6, 板楼,12, 6个月以前发布,1380000.0,"16,313元/平",VR看装修 房本满两年 随时看房 
尚品燕园精装修+中间楼层+采光视野好+满五唯一+急售,尚品燕园,盛福,2室2厅 ,80.54, 南 , 精装 ,33, 板楼,21, 1个月以前发布,1430000.0,"17,756元/平",近地铁 VR看装修 房本满两年 随时看房 
此房有证，南北通透格局，楼层好，视野宽阔，配套齐全,科苑小区北区,祝甸,2室1厅 ,73.61, 南 北 , 精装 ,5, 板楼,30, 3个月以前发布,1170000.0,"15,895元/平",VR看装修 房本满五年 随时看房 
奥体海尔绿城百合园精装两室户型方正采光通透,海尔绿城全运村百合园,奥体中心,2室2厅 ,116.68, 南 , 精装 ,15, 板楼,39, 7个月以前发布,3050000.0,"26,140元/平",VR房源 房本满五年 随时看房 
历下区奥体西路万科城两室精装，业主诚意出售。,济南万科城,化纤厂路,2室2厅 ,81.75, 南 北 , 精装 ,34, 板楼,12, 6个月以前发布,1830000.0,"22,386元/平",近地铁 VR看装修 房本满两年 随时看房 
满二，业主急售，硅藻泥，包含定制家具，看房提前联系,济南万科城,化纤厂路,2室1厅 ,77.5, 北 , 精装 ,32, 板楼,24, 2个月以前发布,1690000.0,"21,807元/平",近地铁 VR房源 房本满两年 随时看房 
万象城 南北通透  南北双阳台 好楼层,师大新村,银座花园,3室2厅 ,130.53, 南 北 , 简装 ,5, 板楼,90, 一年前发布,3750000.0,"28,730元/平",VR看装修 房本满五年 随时看房 
二层！纯甸柳 满五唯一 南北卧室 位置好 诚意卖,甸柳二区,甸柳,2室1厅 ,75.97, 南 , 精装 ,6, 板楼,32, 5个月以前发布,2090000.0,"27,511元/平",VR看装修 房本满五年 随时看房 
民航宿舍  两居室  大客厅  卫生间有窗户 停车方便,长盛小区南区三区,东关,2室1厅 ,69.67, 南 北 , 简装 ,5, 板楼,13, 11个月以前发布,1180000.0,"16,937元/平",VR看装修 房本满五年 随时看房 
两室一厅  南北通透   小户型户型好,盛福花园,盛福,2室1厅 ,72.64, 南 北 , 简装 ,6, 板楼,46, 10个月以前发布,1200000.0,"16,520元/平",VR看装修 房本满两年 随时看房 
和平路29号院3-1-1-1 78.00m² 210万,和平路29,历东,3室1厅 ,77.87, 南 北 , 简装 ,5, 板楼,12, 6个月以前发布,1850000.0,"23,758元/平",VR房源 房本满五年 随时看房 
双气，全明户型，交用便利，生活方便，小区环境好，,燕子山小区南区,文化东路,1室1厅 ,54.0, 南 北 , 简装 ,6, 板楼,14,19,1300000.0,"24,075元/平",VR看装修 房本满五年 随时看房 
建筑新村 三室 中间楼层 精装 大院停车,建筑新村,山大路,3室1厅 ,69.94, 南 , 简装 ,6, 板楼,10,19,1490000.0,"21,304元/平",VR看装修 房本满五年 随时看房 
多7平北阳台 山大辅仁 无上学记录 位置楼层佳,财富中心,银座花园,3室2厅 ,143.47, 南 北 , 精装 ,32, 板楼,4,20,4700000.0,"32,760元/平",VR看装修 
楼层适宜，南北通透 中间楼层 看房提前约,银座花园,银座花园,2室2厅 ,81.51, 南 北 , 简装 ,6, 板楼,16, 4个月以前发布,2250000.0,"27,604元/平",VR看装修 房本满五年 
正规南北三室两卫，满两年！采光好随时可看！,淮海东城御景,盛福,3室2厅 ,112.73, 南 北 , 简装 ,17, 板楼,142, 3个月以前发布,1790000.0,"15,879元/平",VR看装修 房本满两年 
花园小镇 中高层 精装 带家具家电采光明亮,花园小镇,化纤厂路,3室1厅 ,97.2, 南 北 , 精装 ,33, 板楼,46, 1个月以前发布,1880000.0,"19,342元/平",近地铁 VR看装修 房本满五年 
位置安静，采光充足，辅仁商圈，通透性较好,荷兰庄园,银座花园,2室1厅 ,134.14, 南 北 , 精装 ,7, 板楼,7, 5个月以前发布,3200000.0,"23,856元/平",VR看装修 房本满五年 
太奇缺！山大辅仁奇缺小四居！家门口山体公园 无记录,汇中沁园,旅游路,4室2厅 ,144.39, 南 北 , 精装 ,6, 板楼,31, 1个月以前发布,4330000.0,"29,989元/平",VR看装修 房本满两年 
历下区凯旋公馆精装修三居室，高楼层，视野采光好,凯旋公馆,化纤厂路,3室2厅 ,111.42, 南 北 , 精装 ,30, 板楼,45, 一年前发布,2380000.0,"21,361元/平",VR看装修 房本满五年 
"三室两厅两卫,一室一厅朝阳,采光好,带车位和地下室",历山名郡,文化西路,3室2厅 ,150.3, 南 北 , 精装 ,8, 板楼,34, 2个月以前发布,5850000.0,"38,923元/平",VR看装修 房本满五年 
海尔绿城花园洋房 好楼层 采光好 低公摊 诚心出售,海尔绿城全运村桂花园,奥体中心,4室2厅 ,157.55, 南 北 , 精装 ,5, 板楼,24, 1个月以前发布,5350000.0,"33,958元/平",近地铁 VR看装修 房本满五年 
诚基中心 2室1厅 南 北,诚基中心,历东,2室1厅 ,63.0, 南 北 , 精装 ,9, 塔楼,3,7,1480000.0,"23,493元/平",VR房源 
建大院好停车户型方正南北通透配套齐全 一楼带院,历山路96号,历东,3室1厅 ,113.0, 南 北 , 简装 ,6, 板楼,8,10,3400000.0,"30,089元/平",VR房源 
棋盘三室 精装修 中低楼层 视野开阔 采光好,棋盘小区三区,佛山街,3室1厅 ,83.0, 南 北 , 其他 ,6, 板楼,14, 1个月以前发布,2150000.0,"25,904元/平",VR看装修 房本满五年 
此房满五不唯一，采光好，低楼层,青年东路5号院,文化西路,2室2厅 ,76.79, 南 北 , 精装 ,5, 板楼,4,15,2100000.0,"27,348元/平",VR房源 
三室房源，两室朝阳，采光好，视野棒，带车位和地下室,历山名郡,文化西路,3室2厅 ,172.1, 南 北 , 其他 ,11, 板楼,8, 1个月以前发布,6700000.0,"38,931元/平",VR看装修 房本满五年 
户型方正 有车位地下室 采光通风佳 房龄新配套全 急售,恒大帝景,文化东路,3室2厅 ,174.08, 南 北 , 精装 ,31, 板楼,34, 3个月以前发布,5750000.0,"33,031元/平",VR看装修 房本满两年 
山航宿舍 3室2厅 南,山航宿舍,姚家,3室2厅 ,98.1, 南 , 精装 ,6, 板楼,20, 1个月以前发布,2090000.0,"21,305元/平",VR看装修 房本满五年 
历下区 保利华庭 精选三居室 采光好南北通透 满五唯一,保利华庭,化纤厂路,3室2厅 ,91.55, 南 北 , 精装 ,34, 板楼,66, 1个月以前发布,2050000.0,"22,393元/平",近地铁 VR房源 房本满五年 
历下，精装，南北通透，户型好，大品牌好物业,济南万科城,化纤厂路,3室2厅 ,108.42, 南 北 , 简装 ,34, 板楼,10, 3个月以前发布,2350000.0,"21,675元/平",VR房源 房本满两年 
科苑小区北区历下区三居室总价低,科苑小区北区,祝甸,3室2厅 ,93.0, 南 北 , 简装 ,6, 板楼,4,31,1250000.0,"13,441元/平",VR看装修 房本满五年 
甸柳一区+精装三居室+楼层好+空户+诚意出售,甸柳一区,甸柳,3室1厅 ,71.0, 南 北 , 精装 ,5, 板楼,8,13,2200000.0,"30,986元/平",VR看装修 
历下区精装2室、三室朝阳、历下实验、急售！,恒大奥东新都,凤山路,2室1厅 ,87.64, 南 , 精装 ,29, 板楼,16,8,1300000.0,"14,834元/平",VR看装修 随时看房 
文化东路燕子山路 林业厅南 单位宿舍 双气 一楼带小院,文化东路40号,文化东路,1室1厅 ,45.43, 南 北 , 简装 ,6, 板楼,14, 7个月以前发布,1210000.0,"26,635元/平",VR房源 房本满五年 随时看房 
公摊少楼层好，城市人家精装修，有钥匙 随时看房，,黄金99景城,燕山,2室2厅 ,87.08, 南 , 精装 ,18, 板楼,22, 一年前发布,2150000.0,"24,690元/平",VR看装修 房本满五年 随时看房 
地勘局宿舍 带车位，四楼，采光好，空户 低楼层  急售,地勘局宿舍,甸柳,2室1厅 ,60.22, 南 , 简装 ,6, 板楼,14, 5个月以前发布,1780000.0,"29,559元/平",VR看装修 房本满两年 随时看房 
房子楼层好，视野采光好，交通便利，配套方便,祥泰汇东国际,盛福,1室1厅 ,34.91, 北 , 简装 ,32, 塔楼,25, 2个月以前发布,235000.0,"6,732元/平",近地铁 VR房源 房本满两年 随时看房 
