七里山设计院单位宿舍，一楼带院子，小区安静优美,七里山路53号,七里山,3室2厅 ,124.91, 南 北 , 简装 ,6, 板楼,39, 10个月以前发布,2200000.0,"17,613元/平",VR房源 房本满五年 随时看房 
中海国际，三室房源，户型方正，视野好,中海国际御峰官邸,二环南路,3室2厅 ,107.99, 南 , 毛坯 ,18, 板楼,22, 8个月以前发布,1900000.0,"17,595元/平",VR看装修 房本满两年 随时看房 
紫御公馆 3室2厅 南 北,紫御公馆,二环南路,3室2厅 ,97.87, 南 北 , 毛坯 ,11, 板楼,1,11,1860000.0,"19,005元/平",VR看装修 随时看房 
世茂原山+中低层+南北通透+看房方便+免高税,世茂原山首府,白马山,3室2厅 ,97.2, 南 北 , 简装 ,32, 板楼,17, 8个月以前发布,1560000.0,"16,050元/平",VR看装修 房本满两年 随时看房 
市中环宇城 南北通透大三室 落地大飘窗 视野采光很棒,京鲁山庄,二环南路,3室2厅 ,121.56, 南 西 北 , 其他 ,14, 板楼,1, 3个月以前发布,1720000.0,"14,150元/平",VR看装修 房本满五年 随时看房 
有证+带地下室+有车位+中高层+南北通透+纯毛坯,鲁能领秀公馆,领秀城,4室2厅 ,143.03, 南 北 , 毛坯 ,18, 板楼,43, 一年前发布,2900000.0,"20,276元/平",VR看装修 房本满两年 随时看房 
建设路重汽宿舍 低楼层 南北通透 单独大院 停车很方便,建设路85号院,建设路,3室2厅 ,124.0, 南 北 , 简装 ,6, 板楼,1,6,1980000.0,"15,968元/平",VR看装修 随时看房 
中海国际环宇城 大四室 带车位地下室  精装修 满二,中海国际熙岸东区,二环南路,4室2厅 ,181.63, 南 北 , 精装 ,30, 板楼,25, 7个月以前发布,3870000.0,"21,308元/平",VR看装修 房本满五年 随时看房 
精装复式 户型好用 能看山 带有露台 地下室,阳光舜城中区四区,阳光舜城,5室3厅 ,172.31, 南 北 , 精装 ,6, 板楼,242, 11个月以前发布,2450000.0,"14,219元/平",VR房源 房本满两年 随时看房 
看房方便！凤凰楼层！精装修满五年！诚意出售有地下室,山景明珠花园,郎茂山,2室2厅 ,92.47, 南 北 , 精装 ,6, 板楼,9,10,1430000.0,"15,465元/平",VR房源 房本满五年 
有车位含地下室 采光好 独立飘窗、诚售随时看 好楼层,鲁能领秀城A区,领秀城,2室2厅 ,91.92, 南 , 精装 ,16, 板楼,7,15,2100000.0,"22,846元/平",VR看装修 房本满五年 
北邻万达，三室，全明户型，看房方便，交通方便，,凤林小区南区,万达广场,3室1厅 ,72.0, 南 北 , 简装 ,7, 板楼,8,12,1280000.0,"17,778元/平",VR看装修 房本满两年 
同户两室，伴山小高、环境优美。视野好。,福景佳苑2期,二环南路,2室1厅 ,96.27, 南 北 , 简装 ,11, 板楼,16, 一年前发布,1790000.0,"18,594元/平",VR看装修 房本满两年 随时看房 
单位宿舍单独院 户型方正 南北通透 位置好,济大路,舜玉区,3室1厅 ,86.31, 南 北 , 简装 ,5, 板楼,23, 9个月以前发布,1320000.0,"15,294元/平",VR看装修 房本满两年 随时看房 
省级园林示范小区，经五育英，换房急售,华润紫云府,兴隆,4室2厅 ,160.0, 南 北 , 毛坯 ,18, 板楼,19, 1个月以前发布,2960000.0,"18,500元/平",VR看装修 房本满两年 随时看房 
F2地块11层洋房 含车位地下室 公摊小 依山而建 满2年,华润紫云府,兴隆,4室2厅 ,160.63, 南 北 , 毛坯 ,11, 板楼,31, 一年前发布,3400000.0,"21,167元/平",VR看装修 房本满两年 随时看房 
英雄山路西侧，无物业费停车费，交通方便，生活配套全,二七新村一区,二七新村,2室1厅 ,66.04, 东 西 , 简装 ,7, 板楼,77, 一年前发布,680000.0,"10,297元/平",VR看装修 房本满五年 随时看房 
中海国际社区，环宇城旁，二环南路，诚心出售,中海国际熙岸东区,二环南路,2室2厅 ,87.37, 南 , 精装 ,30, 板楼,6, 一年前发布,1450000.0,"16,597元/平",VR看装修 房本满五年 随时看房 
